t,x,y
0.0,4.379741480439104e-05,0.5859999991686412
0.03802570537683474,0.41972194134195945,0.5094926736903227
0.07605141075366947,0.7644817877838074,0.33096875156142813
0.11407711613050421,1.034641539038323,0.11615530426614813
0.15210282150733895,1.2518215293932498,-0.10595133139006921
0.1901285268841737,1.4324493561311082,-0.3254876389787282
0.22815423226100842,1.5869718086240567,-0.5393296500415984
0.26617993763784314,1.7220718052671697,-0.746692949827811
0.3042056430146779,1.842192971297576,-0.9476303298143396
0.34223134839151265,1.9504134427949409,-1.1424878869913369
0.3802570537683474,2.048945027857241,-1.3316970596382935
0.41828275914518215,2.139427778588924,-1.5156932296021322
0.45630846452201684,2.223110732387277,-1.6948848702526664
0.4943341698988516,2.300967049644583,-1.8696436275388946
0.5323598752756863,2.3737698980657553,-2.040303133665467
0.5703855806525211,2.4421440011725775,-2.2071613227487754
0.6084112860293558,2.506601603517011,-2.370483957756471
0.6464369914061906,2.567568163166793,-2.5305083684749037
0.6844626967830253,2.6254010940553956,-2.6874469819871045
0.72248840215986,2.6804036955917208,-2.8414904924348092
0.7605141075366948,2.7328356794366537,-2.9928106367340557
0.7985398129135295,2.7829212447935956,-3.141562594787545
0.8365655182903643,2.8308553574410653,-3.2878870526245367
0.874591223667199,2.876808692262774,-3.4319119719339644
0.9126169290440337,2.920931567380173,-3.5737541078852293
0.9506426344208685,2.9633571076884184,-3.7135203129287326
0.9886683397977032,3.0042038126041843,-3.8513086593208627
1.0266940451745379,3.0435776582092093,-3.9872094082839444
1.0647197505513726,3.0815738319106374,-4.121305849345103
1.1027454559282075,3.1182781743952717,-4.25367502960565
1.1407711613050422,3.153768386453752,-4.384388389474273
1.1787968666818769,3.188115045429636,-4.513512318696641
1.2168225720587116,3.2213824663935307,-4.641108644266416
1.2548482774355463,3.253629435798757,-4.767235059934829
1.2928739828123812,3.2849098397385963,-4.891945505491046
1.330899688189216,3.3152732045618776,-5.015290502701791
1.3689253935660506,3.344765164198726,-5.1373174537346475
1.4069510989428853,3.373427865870433,-5.258070907004889
1.44497680431972,3.4013003237373227,-5.377592794647235
1.483002509696555,3.4284187283476437,-5.49592264519843
1.5210282150733896,3.454816718394552,-5.613097774558931
1.5590539204502243,3.480525620193074,-5.729153457869461
1.597079625827059,3.505574659400008,-5.844123084570408
1.6351053312038937,3.529991148774936,-5.958038298605614
1.6731310365807286,3.5538006551848063,-6.0709291254658435
1.7111567419575633,3.577027148564167,-6.18282408754872
1.749182447334398,3.5996931351369708,-6.293750309118346
1.7872081527112327,3.6218197768674476,-6.403733611986472
1.8252338580880674,3.643426998825782,-6.512798602897498
1.863259563464902,3.6645335859165975,-6.620968753479462
1.901285268841737,3.6851572702195936,-6.728266473519325
1.9393109742185717,3.7053148100226565,-6.834713178231829
1.9773366795954064,3.7250220614845975,-6.940329350113219
2.0153623849722413,3.744294043743729,-7.045134595903722
2.0533880903490758,3.76314499818373,-7.1491476991241925
2.0914137957259107,3.781588442479356,-7.2523866686005825
2.129439501102745,3.7996372199689645,-7.354868783345118
2.16746520647958,3.8173035448337322,-7.456610634124061
2.205490911856415,3.8345990435072665,-7.557628162006771
2.2435166172332495,3.851534792689653,-7.6579366941598614
2.2815423226100844,3.8681213542975623,-7.757550977125526
2.319568027986919,3.8843688076438743,-7.8564852077955605
2.3575937333637538,3.900286779109025,-7.954753062275124
2.3956194387405887,3.9158844695363633,-8.05236772281004
2.433645144117423,3.931170679559827,-8.14934190293285
2.471670849494258,3.9461538330499137,-8.245687870972633
2.5096965548710926,3.9608419988444483,-8.341417472055943
2.5477222602479275,3.975242910914269,-8.436542148715533
2.5857479656247624,3.9893639870974207,-8.531072960214699
2.623773671001597,4.003212346524236,-8.625020600683982
2.661799376378432,4.016794825841109,-8.71839541615734
2.6998250817552663,4.030117994333266,-8.811207420590936
2.737850787132101,4.04318816803485,-8.903466310935633
2.775876492508936,4.0560114229073,-8.995181481333123
2.8139021978857706,4.068593607159874,-9.08636203649632
2.8519279032626055,4.080940352779127,-9.177016804331084
2.88995360863944,4.093057086327347,-9.267154347851614
2.927979314016275,4.104949039066289,-9.356782976437117
2.96600501939311,4.116621256455965,-9.4459107564748
3.0040307247699443,4.12807860707449,-9.534545521428722
3.042056430146779,4.139325791002043,-9.622694881372876
3.0800821355236137,4.150367347706514,-9.710366232022823
3.1181078409004486,4.16120766346681,-9.797566763297974
3.1561335462772835,4.171850978366102,-9.884303467444262
3.194159251654118,4.182301392884779,-9.970583146744346
3.232184957030953,4.192562874120707,-10.056412420841433
3.2702106624077873,4.202639261661823,-10.141797733699391
3.3082363677846223,4.212534273134535,-10.22674536022192
3.346262073161457,4.222251509449081,-10.311261412550612
3.3842877785382917,4.231794459761883,-10.395351846060823
3.4223134839151266,4.241166506173361,-10.479022465073532
3.460339189291961,4.250370928177744,-10.562278928299108
3.498364894668796,4.259410906880503,-10.64512675402822
3.5363906000456304,4.2682895289984195,-10.727571325084378
3.5744163054224654,4.277009790655563,-10.809617893551803
3.6124420107993003,4.285574600987164,-10.891271585290081
3.6504677161761347,4.293986785563861,-10.972537404248406
3.6884934215529697,4.302249089646251,-11.053420236589512
3.726519126929804,4.310364181280491,-11.133924854633795
3.764544832306639,4.318334654243905,-11.214055920632951
3.802570537683474,4.326163030849221,-11.293817990382696
3.8405962430603084,4.333851764615972,-11.373215516681972
3.8786219484371434,4.341403242816345,-11.4522528526478
3.916647653813978,4.348819788902389,-11.530934254892038
3.9546733591908128,4.356103664821718,-11.609263886567453
3.9926990645676477,4.363257073227396,-11.68724582028999
